time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010450450000	13.8902	20.7511	4.93159	2.83559	0.550485	radar	0.292982	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.6128	20.8147	4.99394	2.87154	0.558846	lidar	1.57427	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.3637	20.8458	5.00418	2.92942	0.628521	radar	2.0118	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.12	20.882	4.99163	2.96533	0.634008	lidar	0.159037	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.8889	20.9421	4.97159	2.98301	0.607964	radar	1.91214	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.698	20.9787	4.87734	3.00873	0.605649	lidar	2.07767	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.4436	21.0216	4.9083	3.03418	0.598645	radar	2.54117	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.1967	21.0573	4.92091	3.05916	0.592382	lidar	0.156531	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.9597	21.0771	4.91291	3.08972	0.59883	radar	0.914296	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.7209	21.0436	4.87951	3.13657	0.61996	lidar	1.81241	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.4758	21.03	4.87306	3.17059	0.620534	radar	1.0506	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.2646	21.0202	4.81621	3.20142	0.622314	lidar	0.676515	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	11.0118	20.9815	4.82939	3.23988	0.628461	radar	4.08189	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.8066	20.9405	4.76332	3.27831	0.639351	lidar	0.455632	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.5588	20.9415	4.73838	3.27469	0.557403	radar	5.75989	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.2653	20.9772	4.85898	3.26866	0.511454	lidar	3.56958	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
